	Observed	Shannon	Study	Unit	Compartment	Compartment_Unit	Day	Triplicate	Main_Analysis
Exp1_F2	117	3.382866935309	Exp1	Fecal	Fecal	Fecal	Fecal	A2	YES
Exp1_0A1	51	1.96034855172613	Exp1	Unit1	AC	AC1	1	NO	YES
Exp1_0A2	49	2.17544361950191	Exp1	Unit2	AC	AC2	1	NO	YES
Exp1_0D1	94	3.3660390725023	Exp1	Unit1	DC	DC1	1	NO	YES
Exp1_0D2	97	3.33866067310116	Exp1	Unit2	DC	DC2	1	NO	YES
Exp1_0T1	73	2.90444651362606	Exp1	Unit1	TC	TC1	1	NO	YES
Exp1_0T2	79	2.93088090316582	Exp1	Unit2	TC	TC2	1	NO	YES
Exp1_12A1_2	34	1.53554057728106	Exp1	Unit1	AC	AC1	12	A2	YES
Exp1_12A2_2	38	1.40374292501068	Exp1	Unit2	AC	AC2	12	A2	YES
Exp1_12D1_2	82	2.49835068898292	Exp1	Unit1	DC	DC1	12	A2	YES
Exp1_12D2_2	86	2.49878335030774	Exp1	Unit2	DC	DC2	12	A2	YES
Exp1_12T1_2	63	2.04457515432389	Exp1	Unit1	TC	TC1	12	A2	YES
Exp1_12T2_2	64	1.9269765901237	Exp1	Unit2	TC	TC2	12	A2	YES
Exp1_13A1	30	1.58343875485779	Exp1	Unit1	AC	AC1	13	NO	YES
Exp1_13A2	30	1.46582236628263	Exp1	Unit2	AC	AC2	13	NO	YES
Exp1_13D1	79	2.32265404390819	Exp1	Unit1	DC	DC1	13	NO	YES
Exp1_13D2	78	2.52700545677048	Exp1	Unit2	DC	DC2	13	NO	YES
Exp1_13T1	56	2.02939226510384	Exp1	Unit1	TC	TC1	13	NO	YES
Exp1_13T2	63	2.22925206230861	Exp1	Unit2	TC	TC2	13	NO	YES
Exp1_15A1	36	1.66047257346773	Exp1	Unit1	AC	AC1	15	NO	YES
Exp1_15A2	34	1.508764203411	Exp1	Unit2	AC	AC2	15	NO	YES
Exp1_15D1	78	2.45341015868023	Exp1	Unit1	DC	DC1	15	NO	YES
Exp1_15D2	77	2.52431411666415	Exp1	Unit2	DC	DC2	15	NO	YES
Exp1_15T1	60	2.34518415040468	Exp1	Unit1	TC	TC1	15	NO	YES
Exp1_15T2	63	2.13953304970182	Exp1	Unit2	TC	TC2	15	NO	YES
Exp1_16A1	36	1.7768849643792	Exp1	Unit1	AC	AC1	16	NO	YES
Exp1_16A2	37	1.57140851931724	Exp1	Unit2	AC	AC2	16	NO	YES
Exp1_16D1	68	2.4754291588907	Exp1	Unit1	DC	DC1	16	NO	YES
Exp1_16D2	71	2.39343277397165	Exp1	Unit2	DC	DC2	16	NO	YES
Exp1_16T1	65	2.27301470981679	Exp1	Unit1	TC	TC1	16	NO	YES
Exp1_16T2	63	2.19775519999371	Exp1	Unit2	TC	TC2	16	NO	YES
Exp1_17A1_2	35	1.80074583244912	Exp1	Unit1	AC	AC1	17	A2	YES
Exp1_17A2_2	33	1.64747863045992	Exp1	Unit2	AC	AC2	17	A2	YES
Exp1_17D1_2	71	2.41730261514647	Exp1	Unit1	DC	DC1	17	A2	YES
Exp1_17D2_2	72	2.57420081176182	Exp1	Unit2	DC	DC2	17	A2	YES
Exp1_17T1_2	62	2.34158824079247	Exp1	Unit1	TC	TC1	17	A2	YES
Exp1_17T2_2	60	2.15033456187027	Exp1	Unit2	TC	TC2	17	A2	YES
Exp1_20A1	35	1.66991354354335	Exp1	Unit1	AC	AC1	20	NO	YES
Exp1_20A2	34	1.71751943788661	Exp1	Unit2	AC	AC2	20	NO	YES
Exp1_20D1	64	2.21227884309224	Exp1	Unit1	DC	DC1	20	NO	YES
Exp1_20D2	72	2.50682955458795	Exp1	Unit2	DC	DC2	20	NO	YES
Exp1_20T1	54	2.19177953863554	Exp1	Unit1	TC	TC1	20	NO	YES
Exp1_20T2	60	2.23431007737484	Exp1	Unit2	TC	TC2	20	NO	YES
Exp1_21A1	38	1.90719434365278	Exp1	Unit1	AC	AC1	21	NO	YES
Exp1_21A2	35	1.64704002379517	Exp1	Unit2	AC	AC2	21	NO	YES
Exp1_21D1	70	2.36789716857145	Exp1	Unit1	DC	DC1	21	NO	YES
Exp1_21D2	73	2.21287067589468	Exp1	Unit2	DC	DC2	21	NO	YES
Exp1_21T1	57	2.10436386467568	Exp1	Unit1	TC	TC1	21	NO	YES
Exp1_21T2	72	2.17743896557321	Exp1	Unit2	TC	TC2	21	NO	YES
Exp1_23A1_2	35	1.90451664509442	Exp1	Unit1	AC	AC1	22	A2	YES
Exp1_23A2_2	34	1.71243717428871	Exp1	Unit2	AC	AC2	22	A2	YES
Exp1_23D1_2	78	2.50402531426608	Exp1	Unit1	DC	DC1	22	A2	YES
Exp1_23D2_2	76	2.36343534989872	Exp1	Unit2	DC	DC2	22	A2	YES
Exp1_23T1_2	58	2.09143583849319	Exp1	Unit1	TC	TC1	22	A2	YES
Exp1_23T2_2	65	2.0826772084591	Exp1	Unit2	TC	TC2	22	A2	YES
Exp1_2A1_2	55	2.67562616546997	Exp1	Unit1	AC	AC1	2	A2	YES
Exp1_2A2_2	57	2.55837326530678	Exp1	Unit2	AC	AC2	2	A2	YES
Exp1_2D1_2	90	3.06852758169235	Exp1	Unit1	DC	DC1	2	A2	YES
Exp1_2D2_2	100	3.15489928355015	Exp1	Unit2	DC	DC2	2	A2	YES
Exp1_2T1_2	88	3.14460185317816	Exp1	Unit1	TC	TC1	2	A2	YES
Exp1_2T2_2	88	3.07370054500649	Exp1	Unit2	TC	TC2	2	A2	YES
Exp1_5A1	39	1.71123639581884	Exp1	Unit1	AC	AC1	5	NO	YES
Exp1_5A2	44	2.1209501391654	Exp1	Unit2	AC	AC2	5	NO	YES
Exp1_5D1	94	3.36067083095899	Exp1	Unit1	DC	DC1	5	NO	YES
Exp1_5D2	89	3.42445108614657	Exp1	Unit2	DC	DC2	5	NO	YES
Exp1_5T1	92	3.01115229293132	Exp1	Unit1	TC	TC1	5	NO	YES
Exp1_5T2	89	3.36127364437102	Exp1	Unit2	TC	TC2	5	NO	YES
Exp1_6A1	30	1.58429425210257	Exp1	Unit1	AC	AC1	6	NO	YES
Exp1_6A2	33	1.51789265419348	Exp1	Unit2	AC	AC2	6	NO	YES
Exp1_6D1	92	3.05078599776553	Exp1	Unit1	DC	DC1	6	NO	YES
Exp1_6D2	88	3.24490703766851	Exp1	Unit2	DC	DC2	6	NO	YES
Exp1_6T1	75	2.64010921635964	Exp1	Unit1	TC	TC1	6	NO	YES
Exp1_6T2	86	2.92485840880793	Exp1	Unit2	TC	TC2	6	NO	YES
Exp1_7A1_2	37	1.63241230531699	Exp1	Unit1	AC	AC1	7	A2	YES
Exp1_7A2_2	41	1.87585619539928	Exp1	Unit2	AC	AC2	7	A2	YES
Exp1_7D1_2	86	2.87611891836817	Exp1	Unit1	DC	DC1	7	A2	YES
Exp1_7D2_2	88	3.04707618125658	Exp1	Unit2	DC	DC2	7	A2	YES
Exp1_7T1_2	70	2.36437188722163	Exp1	Unit1	TC	TC1	7	A2	YES
Exp1_7T2_2	88	2.74099951950563	Exp1	Unit2	TC	TC2	7	A2	YES
Exp2_101	45	2.47279972650303	Exp2	Unit1	AC	AC1	1	NO	YES
Exp2_107	41	2.43172765284405	Exp2	Unit1	AC	AC1	21	NO	YES
Exp2_109	83	3.27182220783386	Exp2	Unit1	DC	DC1	1	NO	YES
Exp2_112	33	2.14953563959266	Exp2	Unit1	AC	AC1	7	NO	YES
Exp2_113	57	2.73193508883974	Exp2	Unit1	DC	DC1	5	NO	YES
Exp2_114	68	3.14866161733657	Exp2	Unit1	DC	DC1	21	NO	YES
Exp2_125	67	3.11226093665005	Exp2	Unit1	DC	DC1	13	NO	YES
Exp2_129	65	3.2081944131267	Exp2	Unit1	DC	DC1	15	NO	YES
Exp2_15	57	2.76642346254015	Exp2	Unit1	DC	DC1	7	NO	YES
Exp2_18	69	3.1244722194456	Exp2	Unit1	DC	DC1	25	NO	YES
Exp2_20	65	2.95968003426625	Exp2	Unit1	DC	DC1	11	NO	YES
Exp2_22	34	2.18855451730628	Exp2	Unit1	AC	AC1	29	NO	YES
Exp2_25	64	2.5373729927524	Exp2	Unit1	DC	DC1	3	NO	YES
Exp2_26	66	3.09031268749019	Exp2	Unit1	DC	DC1	9	NO	YES
Exp2_3	44	2.67006744603121	Exp2	Unit1	AC	AC1	25	NO	YES
Exp2_36	70	3.16861241884307	Exp2	Unit1	DC	DC1	29	NO	YES
Exp2_40	33	2.23027220116816	Exp2	Unit1	AC	AC1	13	NO	YES
Exp2_43	36	2.50225080102358	Exp2	Unit1	AC	AC1	31	NO	YES
Exp2_50	35	2.35016991836054	Exp2	Unit1	AC	AC1	19	NO	YES
Exp2_51	33	2.14111905165333	Exp2	Unit1	AC	AC1	3	NO	YES
Exp2_58	40	2.31845122354302	Exp2	Unit1	AC	AC1	17	NO	YES
Exp2_60	33	2.10843340131177	Exp2	Unit1	AC	AC1	11	NO	YES
Exp2_61	72	3.23429956026427	Exp2	Unit1	DC	DC1	23	NO	YES
Exp2_62	33	2.0864541214197	Exp2	Unit1	AC	AC1	9	NO	YES
Exp2_68	66	3.10646127893068	Exp2	Unit1	DC	DC1	31	NO	YES
Exp2_7	79	2.41114239126905	Exp2	Fecal	Fecal	Fecal	Fecal	NO	YES
Exp2_70	62	3.03293066514149	Exp2	Unit1	DC	DC1	17	NO	YES
Exp2_77	65	3.06474768319323	Exp2	Unit1	DC	DC1	19	NO	YES
Exp2_78	38	2.25247879305775	Exp2	Unit1	AC	AC1	27	NO	YES
Exp2_8	60	2.8786225725203	Exp2	Unit1	DC	DC1	27	NO	YES
Exp2_83	46	2.66623141749774	Exp2	Unit1	AC	AC1	23	NO	YES
Exp2_88	34	2.22807452460979	Exp2	Unit1	AC	AC1	15	NO	YES
Exp2_99	29	2.14356188995683	Exp2	Unit1	AC	AC1	5	NO	YES
