	45.7%	19.4%	Study	Unit	Compartment	Compartment_Unit	Day	Triplicate	Main_Analysis
Exp1_F2	-0.0700904945535089	-0.370661524174025	Exp1	Fecal	Fecal	Fecal	0	A2	YES
Exp1_0A1	-0.0966809103180539	-0.451331150926238	Exp1	Unit1	AC	AC1	1	NO	YES
Exp1_0A2	-0.0937635884932579	-0.46536441730505	Exp1	Unit2	AC	AC2	1	NO	YES
Exp1_0D1	-0.0684402250057226	-0.49980707895595	Exp1	Unit1	DC	DC1	1	NO	YES
Exp1_0D2	-0.0667822881136307	-0.490948104722823	Exp1	Unit2	DC	DC2	1	NO	YES
Exp1_0T1	-0.0657618398836483	-0.520551074697335	Exp1	Unit1	TC	TC1	1	NO	YES
Exp1_0T2	-0.0683041161120324	-0.517508054692672	Exp1	Unit2	TC	TC2	1	NO	YES
Exp1_12A1_2	0.25113652258898	0.136842820920852	Exp1	Unit1	AC	AC1	12	A2	YES
Exp1_12A2_2	0.246953898995935	0.124297764737555	Exp1	Unit2	AC	AC2	12	A2	YES
Exp1_12D1_2	0.247429707544085	0.0501418078171779	Exp1	Unit1	DC	DC1	12	A2	YES
Exp1_12D2_2	0.245681320101645	0.0240495377390397	Exp1	Unit2	DC	DC2	12	A2	YES
Exp1_12T1_2	0.270037226220537	0.0961835534812323	Exp1	Unit1	TC	TC1	12	A2	YES
Exp1_12T2_2	0.266860672086094	0.0869340478033319	Exp1	Unit2	TC	TC2	12	A2	YES
Exp1_13A1	0.25252832043785	0.131044304861758	Exp1	Unit1	AC	AC1	13	NO	YES
Exp1_13A2	0.250138770809447	0.13381555232197	Exp1	Unit2	AC	AC2	13	NO	YES
Exp1_13D1	0.244671011541738	0.0737440571792745	Exp1	Unit1	DC	DC1	13	NO	YES
Exp1_13D2	0.248053160634445	0.0465520539480802	Exp1	Unit2	DC	DC2	13	NO	YES
Exp1_13T1	0.266874896621502	0.123786151724925	Exp1	Unit1	TC	TC1	13	NO	YES
Exp1_13T2	0.263691680919214	0.0934709947327042	Exp1	Unit2	TC	TC2	13	NO	YES
Exp1_15A1	0.252988518476617	0.138231928504785	Exp1	Unit1	AC	AC1	15	NO	YES
Exp1_15A2	0.25746962805752	0.146479016830433	Exp1	Unit2	AC	AC2	15	NO	YES
Exp1_15D1	0.222598352556601	0.0710222347180191	Exp1	Unit1	DC	DC1	15	NO	YES
Exp1_15D2	0.245228936231511	0.0477369692558132	Exp1	Unit2	DC	DC2	15	NO	YES
Exp1_15T1	0.257207752910404	0.108040357153296	Exp1	Unit1	TC	TC1	15	NO	YES
Exp1_15T2	0.260134579326153	0.103823591398604	Exp1	Unit2	TC	TC2	15	NO	YES
Exp1_16A1	0.254309855313431	0.123916373298347	Exp1	Unit1	AC	AC1	16	NO	YES
Exp1_16A2	0.257902760438343	0.127876044415309	Exp1	Unit2	AC	AC2	16	NO	YES
Exp1_16D1	0.223127448230026	0.0715851802759522	Exp1	Unit1	DC	DC1	16	NO	YES
Exp1_16D2	0.226238760276621	0.055573654713008	Exp1	Unit2	DC	DC2	16	NO	YES
Exp1_16T1	0.255328077424206	0.109797003136941	Exp1	Unit1	TC	TC1	16	NO	YES
Exp1_16T2	0.255599693567953	0.10288823290295	Exp1	Unit2	TC	TC2	16	NO	YES
Exp1_17A1_2	0.257179614881772	0.134821333385779	Exp1	Unit1	AC	AC1	17	A2	YES
Exp1_17A2_2	0.256740960921108	0.136496402477228	Exp1	Unit2	AC	AC2	17	A2	YES
Exp1_17D1_2	0.226477643158448	0.0695302538366186	Exp1	Unit1	DC	DC1	17	A2	YES
Exp1_17D2_2	0.228895954482364	0.0455692958553007	Exp1	Unit2	DC	DC2	17	A2	YES
Exp1_17T1_2	0.258779631836853	0.0884254306052613	Exp1	Unit1	TC	TC1	17	A2	YES
Exp1_17T2_2	0.260190766481807	0.117030734393241	Exp1	Unit2	TC	TC2	17	A2	YES
Exp1_20A1	0.259253979042828	0.141995922307518	Exp1	Unit1	AC	AC1	20	NO	YES
Exp1_20A2	0.251781356191785	0.136394961613942	Exp1	Unit2	AC	AC2	20	NO	YES
Exp1_20D1	0.203953644869809	0.0762873706846554	Exp1	Unit1	DC	DC1	20	NO	YES
Exp1_20D2	0.215604333760766	0.0351714305367641	Exp1	Unit2	DC	DC2	20	NO	YES
Exp1_20T1	0.242430570893824	0.110483838595264	Exp1	Unit1	TC	TC1	20	NO	YES
Exp1_20T2	0.248469365012257	0.103765510020579	Exp1	Unit2	TC	TC2	20	NO	YES
Exp1_21A1	0.253655458251281	0.117444917912763	Exp1	Unit1	AC	AC1	21	NO	YES
Exp1_21A2	0.260442553490113	0.130130371905773	Exp1	Unit2	AC	AC2	21	NO	YES
Exp1_21D1	0.212377643052884	0.0742765044741718	Exp1	Unit1	DC	DC1	21	NO	YES
Exp1_21D2	0.208153709260254	0.057506328340167	Exp1	Unit2	DC	DC2	21	NO	YES
Exp1_21T1	0.239892537843385	0.119869632006962	Exp1	Unit1	TC	TC1	21	NO	YES
Exp1_21T2	0.249196619098419	0.101561062036746	Exp1	Unit2	TC	TC2	21	NO	YES
Exp1_23A1_2	0.250543718685896	0.113673522131819	Exp1	Unit1	AC	AC1	22	A2	YES
Exp1_23A2_2	0.256442337348554	0.11638471292332	Exp1	Unit2	AC	AC2	22	A2	YES
Exp1_23D1_2	0.212835331240484	0.0555136537129625	Exp1	Unit1	DC	DC1	22	A2	YES
Exp1_23D2_2	0.225292270011508	0.0451506320986633	Exp1	Unit2	DC	DC2	22	A2	YES
Exp1_23T1_2	0.246073989993401	0.111277665820719	Exp1	Unit1	TC	TC1	22	A2	YES
Exp1_23T2_2	0.250977157944561	0.10370909995544	Exp1	Unit2	TC	TC2	22	A2	YES
Exp1_2A1_2	-0.0542208614125168	-0.486039050721462	Exp1	Unit1	AC	AC1	2	A2	YES
Exp1_2A2_2	-0.0616062983183113	-0.485736321466061	Exp1	Unit2	AC	AC2	2	A2	YES
Exp1_2D1_2	-0.053788601091101	-0.519732923596854	Exp1	Unit1	DC	DC1	2	A2	YES
Exp1_2D2_2	-0.047856592043525	-0.509733033004683	Exp1	Unit2	DC	DC2	2	A2	YES
Exp1_2T1_2	-0.0421124760199856	-0.514705878791746	Exp1	Unit1	TC	TC1	2	A2	YES
Exp1_2T2_2	-0.0471717655126866	-0.511910319845327	Exp1	Unit2	TC	TC2	2	A2	YES
Exp1_5A1	0.245864536864371	0.0577689472315128	Exp1	Unit1	AC	AC1	5	NO	YES
Exp1_5A2	0.210832408477536	-0.043001242564204	Exp1	Unit2	AC	AC2	5	NO	YES
Exp1_5D1	0.0931341953647948	-0.286796597330052	Exp1	Unit1	DC	DC1	5	NO	YES
Exp1_5D2	0.0600849543985266	-0.315276952949216	Exp1	Unit2	DC	DC2	5	NO	YES
Exp1_5T1	0.199530458223	-0.128974654438542	Exp1	Unit1	TC	TC1	5	NO	YES
Exp1_5T2	0.135940954871132	-0.223298951383024	Exp1	Unit2	TC	TC2	5	NO	YES
Exp1_6A1	0.235666811435905	0.0865839642159399	Exp1	Unit1	AC	AC1	6	NO	YES
Exp1_6A2	0.243349336764377	0.071701981442399	Exp1	Unit2	AC	AC2	6	NO	YES
Exp1_6D1	0.179417754411187	-0.157456860835866	Exp1	Unit1	DC	DC1	6	NO	YES
Exp1_6D2	0.149371484894674	-0.18656684233035	Exp1	Unit2	DC	DC2	6	NO	YES
Exp1_6T1	0.242576952301179	-0.0131604517515739	Exp1	Unit1	TC	TC1	6	NO	YES
Exp1_6T2	0.222535129801357	-0.0764632043278147	Exp1	Unit2	TC	TC2	6	NO	YES
Exp1_7A1_2	0.241001950237681	0.0642033130182455	Exp1	Unit1	AC	AC1	7	A2	YES
Exp1_7A2_2	0.227532373381416	0.0242377150393766	Exp1	Unit2	AC	AC2	7	A2	YES
Exp1_7D1_2	0.216737085440393	-0.0834912633074031	Exp1	Unit1	DC	DC1	7	A2	YES
Exp1_7D2_2	0.198791689131897	-0.115589984284516	Exp1	Unit2	DC	DC2	7	A2	YES
Exp1_7T1_2	0.251433799167256	0.00325908196920056	Exp1	Unit1	TC	TC1	7	A2	YES
Exp1_7T2_2	0.237221771544958	-0.0457467107713611	Exp1	Unit2	TC	TC2	7	A2	YES
Exp2_101	-0.394662781301296	-0.0125345315120155	Exp2	Unit1	AC	AC1	1	NO	YES
Exp2_107	-0.470381729874505	0.140776664851911	Exp2	Unit1	AC	AC1	21	NO	YES
Exp2_109	-0.330252089449502	-0.0917643879052178	Exp2	Unit1	DC	DC1	1	NO	YES
Exp2_112	-0.503049677572892	0.116651035500977	Exp2	Unit1	AC	AC1	7	NO	YES
Exp2_113	-0.471564517527625	0.0966926021808775	Exp2	Unit1	DC	DC1	5	NO	YES
Exp2_114	-0.384472088898364	0.0978012334873372	Exp2	Unit1	DC	DC1	21	NO	YES
Exp2_125	-0.431060897681275	0.102062358564061	Exp2	Unit1	DC	DC1	13	NO	YES
Exp2_129	-0.422921712103963	0.095936675978184	Exp2	Unit1	DC	DC1	15	NO	YES
Exp2_15	-0.471785001097423	0.112939176764787	Exp2	Unit1	DC	DC1	7	NO	YES
Exp2_18	-0.379926330872607	0.109452901699717	Exp2	Unit1	DC	DC1	25	NO	YES
Exp2_20	-0.429848814969398	0.107808756929514	Exp2	Unit1	DC	DC1	11	NO	YES
Exp2_22	-0.498233621245489	0.110143599964207	Exp2	Unit1	AC	AC1	29	NO	YES
Exp2_25	-0.408884348654758	0.036350972982217	Exp2	Unit1	DC	DC1	3	NO	YES
Exp2_26	-0.434201816363524	0.101203887001293	Exp2	Unit1	DC	DC1	9	NO	YES
Exp2_3	-0.481867893902605	0.130951237581774	Exp2	Unit1	AC	AC1	25	NO	YES
Exp2_36	-0.36822122254812	0.101867329011474	Exp2	Unit1	DC	DC1	29	NO	YES
Exp2_40	-0.495469513602376	0.119563788288558	Exp2	Unit1	AC	AC1	13	NO	YES
Exp2_43	-0.486912255271697	0.11172712813302	Exp2	Unit1	AC	AC1	31	NO	YES
Exp2_50	-0.49075589749516	0.12371282467822	Exp2	Unit1	AC	AC1	19	NO	YES
Exp2_51	-0.452566874687267	0.0620748354429209	Exp2	Unit1	AC	AC1	3	NO	YES
Exp2_58	-0.492311298919853	0.117010150171782	Exp2	Unit1	AC	AC1	17	NO	YES
Exp2_60	-0.491420841391607	0.121146484279247	Exp2	Unit1	AC	AC1	11	NO	YES
Exp2_61	-0.350437743132223	0.0826640459888789	Exp2	Unit1	DC	DC1	23	NO	YES
Exp2_62	-0.498192570033908	0.11265246050093	Exp2	Unit1	AC	AC1	9	NO	YES
Exp2_68	-0.367853419417741	0.0994830998413306	Exp2	Unit1	DC	DC1	31	NO	YES
Exp2_7	-0.312959582796203	-0.055198603043355	Exp2	Fecal	Fecal	Fecal	0	NO	YES
Exp2_70	-0.441843685166203	0.102309186595125	Exp2	Unit1	DC	DC1	17	NO	YES
Exp2_77	-0.427000400505274	0.0976050061954221	Exp2	Unit1	DC	DC1	19	NO	YES
Exp2_78	-0.50256571482247	0.117455759420154	Exp2	Unit1	AC	AC1	27	NO	YES
Exp2_8	-0.391013368355324	0.108436757629196	Exp2	Unit1	DC	DC1	27	NO	YES
Exp2_83	-0.460435362517523	0.139853241417876	Exp2	Unit1	AC	AC1	23	NO	YES
Exp2_88	-0.494328926286881	0.112225804865947	Exp2	Unit1	AC	AC1	15	NO	YES
Exp2_99	-0.51487429043382	0.112732341268107	Exp2	Unit1	AC	AC1	5	NO	YES
